Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
006,Charizard,Fire,Flying,78,84,78,109,85,100
012,Butterfree,Bug,Flying,60,45,50,90,80,70
016,Pidgey,Normal,Flying,40,45,40,35,35,56
017,Pidgeotto,Normal,Flying,63,60,55,50,50,71
018,Pidgeot,Normal,Flying,83,80,75,70,70,101
021,Spearow,Normal,Flying,40,60,30,31,31,70
022,Fearow,Normal,Flying,65,90,65,61,61,100
041,Zubat,Poison,Flying,40,45,35,30,40,55
042,Golbat,Poison,Flying,75,80,70,65,75,90
083,Farfetch'd,Normal,Flying,52,90,55,58,62,60
084,Doduo,Normal,Flying,35,85,45,35,35,75
085,Dodrio,Normal,Flying,60,110,70,60,60,110
123,Scyther,Bug,Flying,70,110,80,55,80,105
130,Gyarados,Water,Flying,95,125,79,60,100,81
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130
144,Articuno,Ice,Flying,90,85,100,95,125,85
145,Zapdos,Electric,Flying,90,90,85,125,90,100
146,Moltres,Fire,Flying,90,100,90,125,85,90
149,Dragonite,Dragon,Flying,91,134,95,100,100,80
163,Hoothoot,Normal,Flying,60,30,30,36,56,50
164,Noctowl,Normal,Flying,100,50,50,86,96,70
165,Ledyba,Bug,Flying,40,20,30,40,80,55
166,Ledian,Bug,Flying,55,35,50,55,110,85
169,Crobat,Poison,Flying,85,90,80,70,80,130
176,Togetic,Fairy,Flying,55,40,85,80,105,40
177,Natu,Psychic,Flying,40,50,45,70,45,70
178,Xatu,Psychic,Flying,65,75,70,95,70,95
187,Hoppip,Grass,Flying,35,35,40,35,55,50
188,Skiploom,Grass,Flying,55,45,50,45,65,80
189,Jumpluff,Grass,Flying,75,55,70,55,95,110
193,Yanma,Bug,Flying,65,65,45,75,45,95
198,Murkrow,Dark,Flying,60,85,42,85,42,91
207,Gligar,Ground,Flying,65,75,105,35,65,85
225,Delibird,Ice,Flying,45,55,45,65,45,75
226,Mantine,Water,Flying,85,40,70,80,140,70
227,Skarmory,Steel,Flying,65,80,140,40,70,70
249,Lugia,Psychic,Flying,106,90,130,90,154,110
