Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
001,Bulbasaur,Grass,Poison,45,49,49,65,65,45
002,Ivysaur,Grass,Poison,60,62,63,80,80,60
003,Venusaur,Grass,Poison,80,82,83,100,100,80
043,Oddish,Grass,Poison,45,50,55,75,65,30
044,Gloom,Grass,Poison,60,65,70,85,75,40
045,Vileplume,Grass,Poison,75,80,85,110,90,50
046,Paras,Bug,Grass,35,70,55,45,55,25
047,Parasect,Bug,Grass,60,95,80,60,80,30
069,Bellsprout,Grass,Poison,50,75,35,70,30,40
070,Weepinbell,Grass,Poison,65,90,50,85,45,55
071,Victreebel,Grass,Poison,80,105,65,100,70,70
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40
103,Exeggutor,Grass,Psychic,95,95,85,125,75,55
114,Tangela,Grass,None,65,55,115,100,40,60
152,Chikorita,Grass,None,45,49,65,49,65,45
153,Bayleef,Grass,None,60,62,80,63,80,60
154,Meganium,Grass,None,80,82,100,83,100,80
182,Bellossom,Grass,None,75,80,95,90,100,50
187,Hoppip,Grass,Flying,35,35,40,35,55,50
188,Skiploom,Grass,Flying,55,45,50,45,65,80
189,Jumpluff,Grass,Flying,75,55,70,55,95,110
191,Sunkern,Grass,None,30,30,30,30,30,30
192,Sunflora,Grass,None,75,75,55,105,85,30
251,Celebi,Psychic,Grass,100,100,100,100,100,100
252,Treecko,Grass,None,40,45,35,65,55,70
253,Grovyle,Grass,None,50,65,45,85,65,95
254,Sceptile,Grass,None,70,85,65,105,85,120
270,Lotad,Water,Grass,40,30,30,40,50,30
271,Lombre,Water,Grass,60,50,50,60,70,50
272,Ludicolo,Water,Grass,80,70,70,90,100,70
273,Seedot,Grass,None,40,40,50,30,30,30
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60
275,Shiftry,Grass,Dark,90,100,60,90,60,80
285,Shroomish,Grass,None,60,40,60,40,60,35
286,Breloom,Grass,Fighting,60,130,80,60,60,70
315,Roselia,Grass,Poison,50,60,45,100,80,65
331,Cacnea,Grass,None,50,85,40,85,40,35
332,Cacturne,Grass,Dark,70,115,60,115,60,55
345,Lileep,Rock,Grass,66,41,77,61,87,23
346,Cradily,Rock,Grass,86,81,97,81,107,43
357,Tropius,Grass,Flying,99,68,83,72,87,51
387,Turtwig,Grass,None,55,68,64,45,55,31
388,Grotle,Grass,None,75,89,85,55,65,36
389,Torterra,Grass,Ground,95,109,105,75,85,56
406,Budew,Grass,Poison,40,30,35,50,70,55
407,Roserade,Grass,Poison,60,70,65,125,105,90
413,Wormadam,Bug,Grass,60,59,85,79,105,36
420,Cherubi,Grass,None,45,35,45,62,53,35
421,Cherrim,Grass,None,70,60,70,87,78,85
455,Carnivine,Grass,None,74,100,72,90,72,46
459,Snover,Grass,Ice,60,62,50,62,60,40
460,Abomasnow,Grass,Ice,90,92,75,92,85,60
465,Tangrowth,Grass,None,100,100,125,110,50,50
470,Leafeon,Grass,None,65,110,130,60,65,95
492,Shaymin,Grass,None,100,100,100,100,100,100
495,Snivy,Grass,None,45,45,55,45,55,63
496,Servine,Grass,None,60,60,75,60,75,83
497,Serperior,Grass,None,75,75,95,75,95,113
511,Pansage,Grass,None,50,53,48,53,48,64
512,Simisage,Grass,None,75,98,63,98,63,101
540,Sewaddle,Bug,Grass,45,53,70,40,60,42
541,Swadloon,Bug,Grass,55,63,90,50,80,42
542,Leavanny,Bug,Grass,75,103,80,70,80,92
546,Cottonee,Grass,Fairy,40,27,60,37,50,66
547,Whimsicott,Grass,Fairy,60,67,85,77,75,116
548,Petilil,Grass,None,45,35,50,70,50,30
549,Lilligant,Grass,None,70,60,75,110,75,90
556,Maractus,Grass,None,75,86,67,106,67,60
585,Deerling,Normal,Grass,60,60,50,40,50,75
586,Sawsbuck,Normal,Grass,80,100,70,60,70,95
590,Foongus,Grass,Poison,69,55,45,55,55,15
591,Amoonguss,Grass,Poison,114,85,70,85,80,30
597,Ferroseed,Grass,Steel,44,50,91,24,86,10
598,Ferrothorn,Grass,Steel,74,94,131,54,116,20
640,Virizion,Grass,Fighting,91,90,72,90,129,108
650,Chespin,Grass,None,56,61,65,48,45,38
651,Quilladin,Grass,None,61,78,95,56,58,57
