Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
016,Pidgey,Normal,Flying,40,45,40,35,35,56
017,Pidgeotto,Normal,Flying,63,60,55,50,50,71
018,Pidgeot,Normal,Flying,83,80,75,70,70,101
019,Rattata,Normal,None,30,56,35,25,35,72
020,Raticate,Normal,None,55,81,60,50,70,97
021,Spearow,Normal,Flying,40,60,30,31,31,70
022,Fearow,Normal,Flying,65,90,65,61,61,100
039,Jigglypuff,Normal,Fairy,115,45,20,45,25,20
040,Wigglytuff,Normal,Fairy,140,70,45,85,50,45
052,Meowth,Normal,None,40,45,35,40,40,90
053,Persian,Normal,None,65,70,60,65,65,115
083,Farfetch'd,Normal,Flying,52,90,55,58,62,60
084,Doduo,Normal,Flying,35,85,45,35,35,75
085,Dodrio,Normal,Flying,60,110,70,60,60,110
108,Lickitung,Normal,None,90,55,75,60,75,30
113,Chansey,Normal,None,250,5,5,35,105,50
115,Kangaskhan,Normal,None,105,95,80,40,80,90
128,Tauros,Normal,None,75,100,95,40,70,110
132,Ditto,Normal,None,48,48,48,48,48,48
133,Eevee,Normal,None,55,55,50,45,65,55
137,Porygon,Normal,None,65,60,70,85,75,40
143,Snorlax,Normal,None,160,110,65,65,110,30
161,Sentret,Normal,None,35,46,34,35,45,20
162,Furret,Normal,None,85,76,64,45,55,90
163,Hoothoot,Normal,Flying,60,30,30,36,56,50
164,Noctowl,Normal,Flying,100,50,50,86,96,70
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15
190,Aipom,Normal,None,55,70,55,40,55,85
203,Girafarig,Normal,Psychic,70,80,65,90,65,85
206,Dunsparce,Normal,None,100,70,70,65,65,45
216,Teddiursa,Normal,None,60,80,50,50,50,40
217,Ursaring,Normal,None,90,130,75,75,75,55
233,Porygon2,Normal,None,85,80,90,105,95,60
234,Stantler,Normal,None,73,95,62,85,65,85
235,Smeargle,Normal,None,55,20,35,20,45,75
241,Miltank,Normal,None,95,80,105,40,70,100
242,Blissey,Normal,None,255,10,10,75,135,55
263,Zigzagoon,Normal,None,38,30,41,30,41,60
264,Linoone,Normal,None,78,70,61,50,61,100
276,Taillow,Normal,Flying,40,55,30,30,30,85
277,Swellow,Normal,Flying,60,85,60,75,50,125
287,Slakoth,Normal,None,60,60,60,35,35,30
288,Vigoroth,Normal,None,80,80,80,55,55,90
289,Slaking,Normal,None,150,160,100,95,65,100
293,Whismur,Normal,None,64,51,23,51,23,28
294,Loudred,Normal,None,84,71,43,71,43,48
295,Exploud,Normal,None,104,91,63,91,73,68
298,Azurill,Normal,Fairy,50,20,40,20,40,20
300,Skitty,Normal,None,50,45,45,35,35,50
301,Delcatty,Normal,None,70,65,65,55,55,90
