Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
063,Abra,Psychic,None,25,20,15,105,55,90
064,Kadabra,Psychic,None,40,35,30,120,70,105
065,Alakazam,Psychic,None,55,50,45,135,95,120
079,Slowpoke,Water,Psychic,90,65,65,40,40,15
080,Slowbro,Water,Psychic,95,75,110,100,80,30
096,Drowzee,Psychic,None,60,48,45,43,90,42
097,Hypno,Psychic,None,85,73,70,73,115,67
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40
103,Exeggutor,Grass,Psychic,95,95,85,125,75,55
121,Starmie,Water,Psychic,60,75,85,100,85,115
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90
124,Jynx,Ice,Psychic,65,50,35,115,95,95
150,Mewtwo,Psychic,None,106,110,90,154,90,130
151,Mew,Psychic,None,100,100,100,100,100,100
177,Natu,Psychic,Flying,40,50,45,70,45,70
178,Xatu,Psychic,Flying,65,75,70,95,70,95
196,Espeon,Psychic,None,65,65,60,130,95,110
199,Slowking,Water,Psychic,95,75,80,100,110,30
201,Unown,Psychic,None,48,72,48,72,48,48
202,Wobbuffet,Psychic,None,190,33,58,33,58,33
203,Girafarig,Normal,Psychic,70,80,65,90,65,85
238,Smoochum,Ice,Psychic,45,30,15,85,65,65
249,Lugia,Psychic,Flying,106,90,130,90,154,110
251,Celebi,Psychic,Grass,100,100,100,100,100,100
280,Ralts,Psychic,Fairy,28,25,25,45,35,40
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80
307,Meditite,Fighting,Psychic,30,40,55,40,55,60
308,Medicham,Fighting,Psychic,60,60,75,60,75,80
325,Spoink,Psychic,None,60,25,35,70,80,60
326,Grumpig,Psychic,None,80,45,65,90,110,80
337,Lunatone,Rock,Psychic,90,55,65,95,85,70
338,Solrock,Rock,Psychic,90,95,85,55,65,70
343,Baltoy,Ground,Psychic,40,40,55,40,70,55
344,Claydol,Ground,Psychic,60,70,105,70,120,75
358,Chimecho,Psychic,None,75,50,80,95,90,65
360,Wynaut,Psychic,None,95,23,48,23,48,23
374,Beldum,Steel,Psychic,40,55,80,35,60,30
375,Metang,Steel,Psychic,60,75,100,55,80,50
376,Metagross,Steel,Psychic,80,135,130,95,90,70
380,Latias,Dragon,Psychic,80,80,90,110,130,110
381,Latios,Dragon,Psychic,80,90,80,130,110,110
385,Jirachi,Steel,Psychic,100,100,100,100,100,100
386,Deoxys,Psychic,None,50,150,50,150,50,150
433,Chingling,Psychic,None,45,30,50,65,50,45
436,Bronzor,Steel,Psychic,57,24,86,24,86,23
437,Bronzong,Steel,Psychic,67,89,116,79,116,33
439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60
