Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
007,Squirtle,Water,None,44,48,65,50,64,43
008,Wartortle,Water,None,59,63,80,65,80,58
009,Blastoise,Water,None,79,83,100,85,105,78
054,Psyduck,Water,None,50,52,48,65,50,55
055,Golduck,Water,None,80,82,78,95,80,85
060,Poliwag,Water,None,40,50,40,40,40,90
061,Poliwhirl,Water,None,65,65,65,50,50,90
062,Poliwrath,Water,Fighting,90,95,95,70,90,70
072,Tentacool,Water,Poison,40,40,35,50,100,70
073,Tentacruel,Water,Poison,80,70,65,80,120,100
079,Slowpoke,Water,Psychic,90,65,65,40,40,15
080,Slowbro,Water,Psychic,95,75,110,100,80,30
086,Seel,Water,None,65,45,55,45,70,45
087,Dewgong,Water,Ice,90,70,80,70,95,70
090,Shellder,Water,None,30,65,100,45,25,40
091,Cloyster,Water,Ice,50,95,180,85,45,70
098,Krabby,Water,None,30,105,90,25,25,50
099,Kingler,Water,None,55,130,115,50,50,75
116,Horsea,Water,None,30,40,70,70,25,60
117,Seadra,Water,None,55,65,95,95,45,85
118,Goldeen,Water,None,45,67,60,35,50,63
119,Seaking,Water,None,80,92,65,65,80,68
120,Staryu,Water,None,30,45,55,70,55,85
121,Starmie,Water,Psychic,60,75,85,100,85,115
129,Magikarp,Water,None,20,10,55,15,20,80
130,Gyarados,Water,Flying,95,125,79,60,100,81
131,Lapras,Water,Ice,130,85,80,85,95,60
134,Vaporeon,Water,None,130,65,60,110,95,65
138,Omanyte,Rock,Water,35,40,100,90,55,35
139,Omastar,Rock,Water,70,60,125,115,70,55
140,Kabuto,Rock,Water,30,80,90,55,45,55
141,Kabutops,Rock,Water,60,115,105,65,70,80
158,Totodile,Water,None,50,65,64,44,48,43
159,Croconaw,Water,None,65,80,80,59,63,58
160,Feraligatr,Water,None,85,105,100,79,83,78
170,Chinchou,Water,Electric,75,38,38,56,56,67
171,Lanturn,Water,Electric,125,58,58,76,76,67
183,Marill,Water,Fairy,70,20,50,20,50,40
184,Azumarill,Water,Fairy,100,50,80,60,80,50
186,Politoed,Water,None,90,75,75,90,100,70
194,Wooper,Water,Ground,55,45,45,25,25,15
195,Quagsire,Water,Ground,95,85,85,65,65,35
199,Slowking,Water,Psychic,95,75,80,100,110,30
211,Qwilfish,Water,Poison,65,95,85,55,55,85
222,Corsola,Water,Rock,65,55,95,65,95,35
223,Remoraid,Water,None,35,65,35,65,35,65
224,Octillery,Water,None,75,105,75,105,75,45
226,Mantine,Water,Flying,85,40,70,80,140,70
230,Kingdra,Water,Dragon,75,95,95,95,95,85
245,Suicune,Water,None,100,75,115,90,115,85
258,Mudkip,Water,None,50,70,50,50,50,40
259,Marshtomp,Water,Ground,70,85,70,60,70,50
260,Swampert,Water,Ground,100,110,90,85,90,60
270,Lotad,Water,Grass,40,30,30,40,50,30
271,Lombre,Water,Grass,60,50,50,60,70,50
272,Ludicolo,Water,Grass,80,70,70,90,100,70
278,Wingull,Water,Flying,40,30,30,55,30,85
279,Pelipper,Water,Flying,60,50,100,95,70,65
283,Surskit,Bug,Water,40,30,32,50,52,65
318,Carvanha,Water,Dark,45,90,20,65,20,65
319,Sharpedo,Water,Dark,70,120,40,95,40,95
320,Wailmer,Water,None,130,70,35,70,35,60
321,Wailord,Water,None,170,90,45,90,45,60
339,Barboach,Water,Ground,50,48,43,46,41,60
340,Whiscash,Water,Ground,110,78,73,76,71,60
341,Corphish,Water,None,43,80,65,50,35,35
342,Crawdaunt,Water,Dark,63,120,85,90,55,55
349,Feebas,Water,None,20,15,20,10,55,80
350,Milotic,Water,None,95,60,79,100,125,81
363,Spheal,Ice,Water,70,40,50,55,50,25
